timestamp,round,accuracy,loss,num_clients_trained
2026-09-04T14:22:51.060326,0,0.100000,2.304769,N/A
2026-09-04T14:23:28.473169,1,0.100000,2.402945,10
2026-09-04T14:23:57.553343,2,0.217700,2.114643,10
2026-09-04T14:24:25.627184,3,0.182200,2.142321,10
2026-09-04T14:24:54.530962,4,0.254800,2.048369,10
2026-09-04T14:25:22.106192,5,0.255200,1.949331,10
2026-09-04T14:25:50.722465,6,0.277700,1.930194,10
2026-09-04T14:26:18.160331,7,0.299000,1.923020,10
2026-09-04T14:26:45.725762,8,0.274800,1.940395,10
2026-09-04T14:27:47.109463,9,0.309000,1.875553,10
2026-09-04T14:28:11.426605,10,0.319900,1.889819,10
2026-09-04T14:28:40.268392,11,0.317400,1.879416,10
2026-09-04T14:29:08.184616,12,0.334300,1.840413,10
2026-09-04T14:30:08.682008,13,0.320300,1.891287,10
2026-09-04T14:32:07.112590,14,0.343700,1.846763,10
2026-09-04T14:34:01.773270,15,0.328600,1.861930,10
2026-09-04T14:34:27.098609,16,0.328000,1.836343,10
2026-09-04T14:36:06.021277,17,0.330200,1.859426,10
2026-09-04T14:37:54.626318,18,0.342700,1.832246,10
2026-09-04T14:39:43.202164,19,0.337200,1.838770,10
2026-09-04T14:41:41.778469,20,0.335300,1.824321,10
